Date,Time,Total cnts,Peak cnts,Min cnts,Centroid X μm,Centroid Y μm,D4σX μm,D4σY μm
12/11/2025,15:04:39.772,9040941.75,2283.13,186.25,4.275060e+03,4.540185e+03,8.909e+02,8.916e+02
12/11/2025,15:04:40.438,8908539.55,2137.75,183.25,4.274738e+03,4.539907e+03,8.961e+02,8.968e+02
12/11/2025,15:04:41.038,8935071.77,2268.38,185.88,4.274824e+03,4.539904e+03,8.950e+02,8.958e+02
12/11/2025,15:04:41.638,8970851.38,2376.75,184.75,4.274905e+03,4.539930e+03,8.934e+02,8.942e+02
12/11/2025,15:04:42.238,8877406.09,2081.25,186.88,4.274630e+03,4.539817e+03,8.975e+02,8.983e+02
12/11/2025,15:04:42.838,9049759.98,2397.38,187.50,4.275077e+03,4.540195e+03,8.912e+02,8.919e+02
12/11/2025,15:04:43.438,8831959.73,2149.38,184.00,4.274453e+03,4.539572e+03,8.999e+02,9.006e+02
12/11/2025,15:04:44.039,9006983.75,2258.63,183.25,4.275003e+03,4.540011e+03,8.922e+02,8.929e+02
12/11/2025,15:04:44.639,8998332.82,2244.63,182.25,4.275010e+03,4.540256e+03,8.920e+02,8.928e+02
12/11/2025,15:04:45.239,9012228.80,2239.50,185.88,4.275029e+03,4.540279e+03,8.917e+02,8.925e+02
12/11/2025,15:04:45.839,9038985.70,2391.13,188.38,4.275077e+03,4.540329e+03,8.914e+02,8.921e+02
12/11/2025,15:04:46.439,8942581.78,2399.50,184.50,4.274854e+03,4.540059e+03,8.951e+02,8.959e+02
12/11/2025,15:04:47.039,8817235.21,2293.75,185.25,4.274509e+03,4.539580e+03,8.994e+02,9.002e+02
12/11/2025,15:04:47.639,9049809.88,2634.38,185.13,4.275284e+03,4.540459e+03,8.901e+02,8.912e+02
12/11/2025,15:04:48.239,9183342.58,2806.00,187.63,4.275462e+03,4.540234e+03,8.855e+02,8.864e+02
12/11/2025,15:04:48.839,9017580.10,2434.13,184.00,4.274938e+03,4.540175e+03,8.925e+02,8.933e+02
12/11/2025,15:04:49.439,9045008.03,2458.63,188.00,4.275021e+03,4.540094e+03,8.909e+02,8.915e+02
12/11/2025,15:04:50.039,9018191.22,2501.38,189.75,4.275082e+03,4.539931e+03,8.917e+02,8.925e+02
12/11/2025,15:04:50.639,9073160.16,2581.63,186.00,4.275207e+03,4.540254e+03,8.896e+02,8.906e+02
12/11/2025,15:04:51.239,8988562.17,2444.13,188.88,4.274959e+03,4.539875e+03,8.930e+02,8.940e+02
12/11/2025,15:04:51.839,9057583.71,2526.00,187.13,4.275122e+03,4.540383e+03,8.901e+02,8.910e+02
12/11/2025,15:04:52.439,9064972.76,2439.75,188.88,4.275129e+03,4.540403e+03,8.894e+02,8.902e+02
12/11/2025,15:04:53.038,9010291.88,2292.00,184.75,4.274978e+03,4.540154e+03,8.913e+02,8.921e+02
12/11/2025,15:04:53.638,8990580.62,2231.50,185.50,4.274938e+03,4.540190e+03,8.924e+02,8.932e+02
12/11/2025,15:04:54.239,9117811.46,2401.25,182.75,4.275280e+03,4.540380e+03,8.872e+02,8.880e+02
12/11/2025,15:04:54.839,9055203.93,2331.88,188.25,4.275157e+03,4.540334e+03,8.894e+02,8.902e+02
12/11/2025,15:04:55.439,8965068.77,2284.88,186.38,4.274835e+03,4.539933e+03,8.937e+02,8.945e+02
12/11/2025,15:04:56.039,8938125.93,2214.88,187.88,4.274771e+03,4.539865e+03,8.951e+02,8.959e+02
12/11/2025,15:04:56.639,9043282.43,2434.38,180.13,4.275011e+03,4.540039e+03,8.907e+02,8.914e+02
12/11/2025,15:04:57.239,9101080.80,2509.50,183.63,4.275241e+03,4.540395e+03,8.881e+02,8.890e+02
12/11/2025,15:04:57.839,9111166.90,2405.38,183.63,4.275142e+03,4.540602e+03,8.880e+02,8.890e+02
12/11/2025,15:04:58.439,8981193.06,2198.50,186.13,4.274816e+03,4.540132e+03,8.936e+02,8.943e+02
12/11/2025,15:04:59.039,9142219.86,2581.25,186.88,4.275264e+03,4.540417e+03,8.874e+02,8.883e+02
12/11/2025,15:04:59.640,9068674.26,2591.88,188.00,4.275145e+03,4.540097e+03,8.900e+02,8.908e+02
12/11/2025,15:05:00.239,9090615.03,2590.00,188.25,4.275082e+03,4.540471e+03,8.892e+02,8.901e+02
12/11/2025,15:05:00.839,9054580.02,2403.25,184.63,4.275139e+03,4.540141e+03,8.895e+02,8.903e+02
12/11/2025,15:05:01.439,8966294.45,2360.63,182.75,4.274900e+03,4.540134e+03,8.920e+02,8.928e+02
12/11/2025,15:05:02.039,8980585.47,2391.75,183.63,4.274944e+03,4.540117e+03,8.914e+02,8.923e+02
12/11/2025,15:05:02.638,8989351.88,2497.88,187.88,4.274915e+03,4.539844e+03,8.917e+02,8.925e+02
12/11/2025,15:05:03.239,9079942.08,2359.50,185.75,4.275107e+03,4.540058e+03,8.886e+02,8.892e+02
12/11/2025,15:05:03.839,9065010.58,2374.88,186.13,4.275033e+03,4.540283e+03,8.888e+02,8.896e+02
12/11/2025,15:05:04.439,8999692.05,2288.25,186.63,4.275041e+03,4.540213e+03,8.910e+02,8.917e+02
12/11/2025,15:05:05.039,9005848.95,2291.00,185.13,4.275069e+03,4.540219e+03,8.910e+02,8.916e+02
12/11/2025,15:05:05.639,9077277.13,2345.00,187.00,4.275220e+03,4.540381e+03,8.887e+02,8.894e+02
12/11/2025,15:05:06.306,9098453.57,2413.25,189.38,4.275242e+03,4.540513e+03,8.882e+02,8.891e+02
12/11/2025,15:05:06.906,9137071.99,2496.75,186.88,4.275503e+03,4.540535e+03,8.865e+02,8.873e+02
12/11/2025,15:05:07.506,9018253.21,2421.88,186.38,4.275089e+03,4.540300e+03,8.911e+02,8.919e+02
12/11/2025,15:05:08.106,9014539.38,2291.75,188.88,4.275050e+03,4.540117e+03,8.928e+02,8.935e+02
12/11/2025,15:05:08.706,9188039.83,2383.50,183.75,4.275190e+03,4.540482e+03,8.889e+02,8.897e+02
12/11/2025,15:05:09.306,9141593.63,2333.00,187.00,4.275117e+03,4.540388e+03,8.897e+02,8.906e+02
12/11/2025,15:05:09.906,8994936.12,2347.88,186.50,4.275126e+03,4.540258e+03,8.874e+02,8.881e+02
12/11/2025,15:05:10.506,8642352.31,2393.88,175.13,4.275446e+03,4.540605e+03,8.832e+02,8.838e+02
12/11/2025,15:05:11.106,8641510.50,2544.88,170.25,4.275750e+03,4.540935e+03,8.789e+02,8.795e+02
12/11/2025,15:05:11.706,8637255.84,2498.75,176.00,4.275762e+03,4.541059e+03,8.787e+02,8.794e+02
12/11/2025,15:05:12.306,8607108.62,2460.63,174.88,4.275577e+03,4.540825e+03,8.808e+02,8.817e+02
12/11/2025,15:05:12.906,8642448.07,2688.00,170.13,4.275983e+03,4.540889e+03,8.774e+02,8.781e+02
12/11/2025,15:05:13.506,8585945.41,2600.50,173.13,4.275605e+03,4.540892e+03,8.813e+02,8.821e+02
12/11/2025,15:05:14.106,8577597.91,2567.75,175.00,4.275532e+03,4.540835e+03,8.815e+02,8.825e+02
12/11/2025,15:05:14.706,8502266.86,2618.50,170.50,4.275608e+03,4.540489e+03,8.828e+02,8.837e+02
12/11/2025,15:05:15.306,8477633.46,2643.13,170.13,4.275709e+03,4.540795e+03,8.791e+02,8.801e+02
12/11/2025,15:05:15.906,8414617.29,2616.88,170.63,4.275733e+03,4.540843e+03,8.801e+02,8.811e+02
12/11/2025,15:05:16.506,8482856.16,2633.63,170.50,4.275824e+03,4.540985e+03,8.784e+02,8.795e+02
12/11/2025,15:05:17.106,8423406.74,2557.63,172.38,4.275577e+03,4.540698e+03,8.816e+02,8.826e+02
12/11/2025,15:05:17.706,8388246.19,2497.50,171.25,4.275495e+03,4.540719e+03,8.827e+02,8.836e+02
12/11/2025,15:05:18.306,8535038.28,2521.00,170.38,4.275857e+03,4.541049e+03,8.765e+02,8.773e+02
12/11/2025,15:05:18.907,8535211.74,2566.75,170.75,4.275855e+03,4.540951e+03,8.763e+02,8.769e+02
12/11/2025,15:05:19.507,8483678.36,2548.50,170.13,4.275668e+03,4.540901e+03,8.786e+02,8.791e+02
12/11/2025,15:05:20.107,8541525.86,2567.63,173.25,4.275910e+03,4.541036e+03,8.767e+02,8.774e+02
12/11/2025,15:05:20.707,8486247.20,2436.63,170.88,4.275706e+03,4.541170e+03,8.790e+02,8.800e+02
12/11/2025,15:05:21.373,8545189.84,2575.63,169.50,4.275922e+03,4.541113e+03,8.767e+02,8.776e+02
12/11/2025,15:05:21.974,8438812.90,2605.13,170.25,4.275723e+03,4.540769e+03,8.806e+02,8.815e+02
12/11/2025,15:05:22.573,8457221.21,2591.00,168.00,4.275738e+03,4.541018e+03,8.790e+02,8.799e+02
12/11/2025,15:05:23.174,8541107.78,2648.63,173.00,4.275909e+03,4.541024e+03,8.764e+02,8.774e+02
12/11/2025,15:05:23.773,8613599.89,2636.63,172.38,4.275834e+03,4.540916e+03,8.775e+02,8.785e+02
12/11/2025,15:05:24.374,8554489.42,2427.00,170.88,4.275620e+03,4.540796e+03,8.812e+02,8.822e+02
12/11/2025,15:05:24.973,8735184.78,2734.38,174.25,4.275985e+03,4.540924e+03,8.776e+02,8.785e+02
12/11/2025,15:05:25.573,8749738.46,2604.88,173.50,4.275940e+03,4.541094e+03,8.768e+02,8.777e+02
12/11/2025,15:05:26.173,8601517.75,2612.25,173.38,4.275938e+03,4.541072e+03,8.786e+02,8.794e+02
12/11/2025,15:05:26.774,8684985.17,2609.38,172.13,4.275987e+03,4.541356e+03,8.769e+02,8.778e+02
12/11/2025,15:05:27.373,8777251.49,2558.00,173.25,4.275784e+03,4.541162e+03,8.787e+02,8.794e+02
12/11/2025,15:05:27.973,8692640.56,2564.63,176.50,4.275947e+03,4.541239e+03,8.776e+02,8.783e+02
12/11/2025,15:05:28.574,8706697.79,2656.13,170.38,4.275999e+03,4.541418e+03,8.748e+02,8.756e+02
12/11/2025,15:05:29.173,8691765.12,2599.63,170.88,4.275904e+03,4.541539e+03,8.760e+02,8.768e+02
12/11/2025,15:05:29.773,7547412.39,672.75,172.88,4.273042e+03,4.538157e+03,9.282e+02,9.290e+02
12/11/2025,15:05:30.374,7240005.78,402.38,172.00,4.272324e+03,4.536970e+03,9.437e+02,9.443e+02
12/11/2025,15:05:30.974,7217957.60,395.63,171.38,4.272199e+03,4.536950e+03,9.447e+02,9.454e+02
12/11/2025,15:05:31.574,7231321.70,399.50,171.25,4.272229e+03,4.537001e+03,9.446e+02,9.452e+02
12/11/2025,15:05:32.173,7256244.24,396.50,170.00,4.272256e+03,4.536874e+03,9.448e+02,9.454e+02
12/11/2025,15:05:32.773,7353722.11,380.13,171.75,4.272150e+03,4.536859e+03,9.459e+02,9.466e+02
12/11/2025,15:05:33.373,7708265.13,404.13,183.13,4.272127e+03,4.536888e+03,9.460e+02,9.466e+02
12/11/2025,15:05:33.973,7787105.08,412.13,187.13,4.272116e+03,4.536781e+03,9.462e+02,9.468e+02
12/11/2025,15:05:34.573,7504322.41,402.38,177.13,4.272189e+03,4.536925e+03,9.453e+02,9.459e+02
12/11/2025,15:05:35.173,7676021.84,417.25,185.38,4.272149e+03,4.536897e+03,9.455e+02,9.462e+02
12/11/2025,15:05:35.773,7688161.53,403.50,183.63,4.272140e+03,4.536832e+03,9.465e+02,9.470e+02
12/11/2025,15:05:36.373,7738777.25,412.13,183.88,4.272208e+03,4.536925e+03,9.454e+02,9.460e+02
12/11/2025,15:05:36.973,7737425.30,405.75,185.75,4.272129e+03,4.536861e+03,9.461e+02,9.467e+02
12/11/2025,15:05:37.573,7780704.85,433.00,187.50,4.272294e+03,4.536895e+03,9.443e+02,9.450e+02
12/11/2025,15:05:38.173,7690140.67,416.25,185.88,4.272240e+03,4.536947e+03,9.451e+02,9.457e+02
12/11/2025,15:05:38.773,7678971.27,425.00,182.88,4.272379e+03,4.536925e+03,9.441e+02,9.447e+02
